dataset,model,kernel,scaler,poly,ridge,n_train,n_test,n_classes,MCC,ACC,TPR_macro,FPR,PPV_macro,F1_macro,AUROC_OvR_macro,AUROC_binary,t_preprocess_s,t_fit_s,t_predict_s,peak_rss_mb,status
IoTID20,HHH,laplacian,MinMaxScaler,-1,1e-09,7680,2000,5,0.9154190538792099,97.73333333333333,77.66666666666667,1.3599999999999999,77.97569709750049,77.7595256652103,98.31996875,98.9315625,0.07861185073852539,2.5219388008117676,0.686025857925415,2080.0,ok
IoTID20,HHHv2,laplacian,MinMaxScaler,0,0.001,7680,2000,5,0.9376465187162185,98.0,95.0,1.25,95.07124141310246,95.00765101256515,99.0449375,99.94875,5.097325086593628,2.2622158527374268,0.711155891418457,2178.46875,ok
IoTID20,HHHv2,laplacian,MinMaxScaler,0,0.1,7680,2000,5,0.8972138024536267,96.64,91.60000000000001,2.1,92.471768076266,91.64807261862143,98.3279375,99.9225,5.146049976348877,2.2418627738952637,0.7058427333831787,2178.46875,ok
IoTID20,HHHv2,laplacian,MinMaxScaler,0,1e-05,7680,2000,5,0.9475334603661142,98.32,95.8,1.05,95.83087355880178,95.80879346611664,98.94878125,99.95734375,5.1156909465789795,2.479421854019165,0.7020459175109863,2167.65625,ok
IoTID20,HHHv2,laplacian,MinMaxScaler,0,1e-07,7680,2000,5,0.946934777144583,98.3,95.74999999999999,1.0625,95.7912979115022,95.75890497950066,99.0193125,99.95609375,5.095833778381348,2.491670846939087,0.6983528137207031,2164.953125,ok
IoTID20,HHHv2,laplacian,MinMaxScaler,0,1e-09,7680,2000,5,0.9469270824218392,98.3,95.74999999999999,1.0625,95.78650412049235,95.75801243544659,99.02059375,99.955625,5.085184097290039,2.2799770832061768,0.7040479183197021,2164.953125,ok
N_BaIoT,HHH,laplacian,MinMaxScaler,-1,0.001,6917,1800,9,0.9197455563667833,98.53333333333333,83.39999999999999,0.8148148148148148,84.56749112396473,83.23504509553935,99.4962847222222,99.99968750000001,0.10450100898742676,1.9616272449493408,0.9026319980621338,2679.21875,ok
N_BaIoT,HHH,laplacian,MinMaxScaler,-1,0.1,6917,1800,9,0.8817940870668388,97.84444444444445,80.3,1.1975308641975309,81.48067876996997,79.89953131163776,98.63416666666667,99.99875,0.10362005233764648,1.8992669582366943,0.9119610786437988,2679.21875,ok
N_BaIoT,HHH,laplacian,MinMaxScaler,-1,1e-05,6917,1800,9,0.9676299232046651,99.42222222222222,87.4,0.32098765432098764,87.53555815216376,87.42247328969704,99.5951736111111,99.99968750000001,0.10483193397521973,1.8919379711151123,0.9042727947235107,2679.21875,ok
N_BaIoT,HHH,laplacian,MinMaxScaler,-1,1e-07,6917,1800,9,0.9676299232046651,99.42222222222222,87.4,0.32098765432098764,87.53555815216376,87.42247328969704,99.61340277777776,99.99968750000001,0.10336923599243164,1.8771030902862549,0.9068548679351807,2679.21875,ok
N_BaIoT,HHH,laplacian,MinMaxScaler,-1,1e-09,6917,1800,9,0.9676299232046651,99.42222222222222,87.4,0.32098765432098764,87.53555815216376,87.42247328969704,99.61288194444442,99.99968750000001,0.10905289649963379,2.040079116821289,0.9070231914520264,2678.265625,ok
N_BaIoT,HHHv2,laplacian,MinMaxScaler,-1,0.001,6917,1800,9,0.946985820127277,98.91358024691358,95.1111111111111,0.6111111111111112,96.29979027175533,94.94169811429383,99.99357638888888,100.0,0.10483694076538086,1.8547489643096924,0.9118762016296387,2679.21875,ok
N_BaIoT,HHHv2,laplacian,MinMaxScaler,-1,0.1,6917,1800,9,0.9444838598958323,98.86419753086419,94.88888888888887,0.638888888888889,96.07988830823194,94.71928613925465,99.9745138888889,100.0,0.10663127899169922,1.9031879901885986,0.9128990173339844,2679.21875,ok
N_BaIoT,HHHv2,laplacian,MinMaxScaler,-1,1e-05,6917,1800,9,0.9937593165372639,99.87654320987654,99.44444444444443,0.06944444444444445,99.45235134387809,99.44467804846728,99.99902777777778,100.0,0.10581707954406738,1.8647046089172363,0.9097540378570557,2679.21875,ok
N_BaIoT,HHHv2,laplacian,MinMaxScaler,-1,1e-07,6917,1800,9,0.9937593165372639,99.87654320987654,99.44444444444443,0.06944444444444445,99.45235134387809,99.44467804846728,99.99902777777778,100.0,0.10384583473205566,1.9005367755889893,0.9102561473846436,2679.21875,ok
N_BaIoT,HHHv2,laplacian,MinMaxScaler,-1,1e-09,6917,1800,9,0.9937593165372639,99.87654320987654,99.44444444444443,0.06944444444444445,99.45235134387809,99.44467804846728,99.99902777777778,100.0,0.10373210906982422,1.9012608528137207,0.9078950881958008,2679.21875,ok
ToN_IoT,HHH,laplacian,StandardScaler,0,0.001,7247,1920,8,0.959276927409231,99.22453703703704,85.5,0.4361979166666667,85.61981770644962,85.53874090664598,99.04701446971758,99.21366279069768,2.5973939895629883,1.2043569087982178,0.3384711742401123,2178.46875,ok
ToN_IoT,HHH,laplacian,StandardScaler,0,0.1,7247,1920,8,0.9340868075414853,98.73842592592592,82.99074074074073,0.7096354166666666,83.04033488094564,82.89106541786366,98.62240559054693,98.71468023255814,2.607950210571289,1.1986112594604492,0.33470630645751953,2178.46875,ok
ToN_IoT,HHH,laplacian,StandardScaler,0,1e-05,7247,1920,8,0.9580532148993144,99.20138888888889,85.46296296296298,0.44921874999999994,85.64704603718995,85.52716919101829,99.05014762433983,99.29651162790698,2.617554187774658,1.2662389278411865,0.3329143524169922,2178.46875,ok
ToN_IoT,HHH,laplacian,StandardScaler,0,1e-07,7247,1920,8,0.9580532148993144,99.20138888888889,85.46296296296298,0.44921874999999994,85.64704603718995,85.52716919101829,99.05006042034998,99.29709302325583,2.5848402976989746,1.2180800437927246,0.34014105796813965,2178.46875,ok
ToN_IoT,HHH,laplacian,StandardScaler,0,1e-09,7247,1920,8,0.9580532148993144,99.20138888888889,85.46296296296298,0.44921874999999994,85.64704603718995,85.52716919101829,99.05006042034998,99.29709302325583,2.5849616527557373,1.3075499534606934,0.3317549228668213,2178.46875,ok
ToN_IoT,HHHv2,laplacian,MinMaxScaler,-1,0.001,7333,1920,8,0.9908708032577159,99.8046875,99.0625,0.11160714285714285,99.06991976723222,99.0622877193076,99.90585029069767,99.41337209302326,0.0705718994140625,1.3708009719848633,0.3391239643096924,2620.0625,ok
ToN_IoT,HHHv2,laplacian,MinMaxScaler,-1,0.1,7333,1920,8,0.9890442833419048,99.765625,98.875,0.13392857142857142,98.84094355640369,98.85361767630101,99.95628499138674,99.76656976744185,0.07163190841674805,1.3659110069274902,0.34213900566101074,2620.3125,ok
ToN_IoT,HHHv2,laplacian,MinMaxScaler,-1,1e-05,7333,1920,8,0.9920887722782941,99.83072916666667,99.1875,0.09672619047619048,99.19338038869691,99.18666737383721,99.87292877906977,99.3049418604651,0.0704488754272461,1.4356260299682617,0.34065818786621094,2617.640625,ok
ToN_IoT,HHHv2,laplacian,MinMaxScaler,-1,1e-07,7333,1920,8,0.9920887722782941,99.83072916666667,99.1875,0.09672619047619048,99.19338038869691,99.18666737383721,99.86438953488373,99.28023255813953,0.07166004180908203,1.2876789569854736,0.34053683280944824,2615.46875,ok
ToN_IoT,HHHv2,laplacian,MinMaxScaler,-1,1e-09,7333,1920,8,0.9920887722782941,99.83072916666667,99.1875,0.09672619047619048,99.19338038869691,99.18666737383721,99.86428052325581,99.27994186046512,0.06924080848693848,1.2229359149932861,0.3461008071899414,2612.953125,ok
