dataset,model,kernel,scaler,poly,gamma_setting,gamma_used,n_train,n_classes,MCC,ACC,TPR_macro,FPR,PPV_macro,F1_macro,AUROC_OvR_macro,AUROC_binary,t_fit_s,t_predict_s,peak_rss_mb,status
Edge_IIoTset,HHH,poly,StandardScaler,-1,default,,11440,15,0.34542590240333265,92.25833333333333,35.6875,4.128888888888889,40.64779393707941,32.77199561733647,79.054875,67.08991071428572,3.5415709018707275,0.5373051166534424,5221.890625,ok
Edge_IIoTset,HHH,poly,StandardScaler,-1,heuristic,32.45423655887586,11440,15,0.3407674178922226,92.20833333333334,35.3125,4.155555555555555,40.51467505876063,32.132784598291586,78.47739285714285,64.9225892857143,86.74509596824646,0.6893739700317383,9866.265625,ok
Edge_IIoTset,HHH,rbf,QuantileTransformer,-1,default,,11440,15,0.5135881241726796,94.27499999999999,50.81250000000001,3.0533333333333332,53.29339491023659,50.138291106668945,87.77721428571428,93.77312500000001,3.2412097454071045,0.323976993560791,5221.890625,ok
Edge_IIoTset,HHH,rbf,QuantileTransformer,-1,heuristic,36.47892558892504,11440,15,0.48662093223530856,93.925,48.1875,3.2399999999999998,46.83308214868096,43.03452392054849,78.56560714285715,95.70080357142857,2.977627992630005,0.27608513832092285,5221.890625,ok
Edge_IIoTset,HHH,sigmoid,MinMaxScaler,-1,default,,11440,15,0.05744044258397,88.21333333333334,11.600000000000001,6.314285714285714,10.478794966625001,7.944979020558475,67.40759523809524,60.28767857142857,84.8699631690979,0.295011043548584,12399.375,ok
Edge_IIoTset,HHH,sigmoid,MinMaxScaler,-1,heuristic,491.63513199768954,11440,15,0.21072956643085441,90.14583333333334,19.84375,5.2555555555555555,16.13894449308549,15.717757642268124,56.7972380952381,26.040267857142858,84.29746508598328,0.30888795852661133,12595.0,ok
Edge_IIoTset,HHHv2,poly,QuantileTransformer,-1,default,,11440,15,0.7732577965518104,97.16444444444444,78.73333333333332,1.519047619047619,79.65240085305243,78.41504115864856,96.92471428571427,99.0292857142857,3.5621299743652344,0.5458970069885254,6118.625,ok
Edge_IIoTset,HHHv2,poly,QuantileTransformer,-1,heuristic,36.47892558892504,11440,15,0.17139696108087618,89.56888888888889,21.766666666666666,5.588095238095238,15.61352826099805,15.702767124508837,54.908,51.19508928571428,5.6345086097717285,0.5417630672454834,6118.625,ok
Edge_IIoTset,HHHv2,rbf,QuantileTransformer,-1,default,,11440,15,0.7993860754878671,97.49333333333333,81.2,1.342857142857143,81.99746382585501,81.10056232198492,97.25989285714286,99.74803571428572,3.233947992324829,0.3432943820953369,6118.625,ok
Edge_IIoTset,HHHv2,rbf,QuantileTransformer,-1,heuristic,36.47892558892504,11440,15,0.7918397750144199,97.40444444444445,80.53333333333332,1.3904761904761904,80.75520445435872,80.40061749304438,94.2583869047619,98.51321428571428,2.9613101482391357,0.28753018379211426,6118.625,ok
Edge_IIoTset,HHHv2,sigmoid,StandardScaler,-1,default,,11440,15,0.2965131398364734,91.16444444444444,33.73333333333333,4.733333333333333,27.846798937900147,28.109129863082217,77.84755952380952,64.10642857142858,4.771862983703613,0.29596495628356934,6118.625,ok
Edge_IIoTset,HHHv2,sigmoid,StandardScaler,-1,heuristic,32.45423655887586,11440,15,0.08874236828370746,88.64888888888889,14.866666666666667,6.080952380952381,11.332725479739945,12.050766722354442,53.09492857142857,43.10035714285714,86.52057981491089,0.30951809883117676,12607.125,ok
